month,total.desktop-site,timeRange.start,timeRange.end,total.mobile-site
2007-12-01T00:00:00.000Z,72815800,2007-12-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,
2008-01-01T00:00:00.000Z,136910419,2008-01-01T00:00:00.000Z,2008-02-01T00:00:00.000Z,
2008-02-01T00:00:00.000Z,119310454,2008-02-01T00:00:00.000Z,2008-03-01T00:00:00.000Z,
2008-03-01T00:00:00.000Z,125256226,2008-03-01T00:00:00.000Z,2008-04-01T00:00:00.000Z,
2008-04-01T00:00:00.000Z,125257230,2008-04-01T00:00:00.000Z,2008-05-01T00:00:00.000Z,
2008-05-01T00:00:00.000Z,139933310,2008-05-01T00:00:00.000Z,2008-06-01T00:00:00.000Z,264
2008-06-01T00:00:00.000Z,153321036,2008-06-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,
2008-07-01T00:00:00.000Z,113131578,2008-07-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,
2008-08-01T00:00:00.000Z,116623870,2008-08-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,
2008-09-01T00:00:00.000Z,137655804,2008-09-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,
2008-10-01T00:00:00.000Z,147805825,2008-10-01T00:00:00.000Z,2008-11-01T00:00:00.000Z,
2008-11-01T00:00:00.000Z,149779808,2008-11-01T00:00:00.000Z,2008-12-01T00:00:00.000Z,
2008-12-01T00:00:00.000Z,137132423,2008-12-01T00:00:00.000Z,2009-01-01T00:00:00.000Z,
2009-01-01T00:00:00.000Z,159528773,2009-01-01T00:00:00.000Z,2009-02-01T00:00:00.000Z,
2009-02-01T00:00:00.000Z,137322868,2009-02-01T00:00:00.000Z,2009-03-01T00:00:00.000Z,
2009-03-01T00:00:00.000Z,162934228,2009-03-01T00:00:00.000Z,2009-04-01T00:00:00.000Z,
2009-04-01T00:00:00.000Z,133250642,2009-04-01T00:00:00.000Z,2009-05-01T00:00:00.000Z,
2009-05-01T00:00:00.000Z,146928711,2009-05-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,
2009-06-01T00:00:00.000Z,141884963,2009-06-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,
2009-07-01T00:00:00.000Z,119577556,2009-07-01T00:00:00.000Z,2009-08-01T00:00:00.000Z,
2009-08-01T00:00:00.000Z,121597111,2009-08-01T00:00:00.000Z,2009-09-01T00:00:00.000Z,
2009-09-01T00:00:00.000Z,92480142,2009-09-01T00:00:00.000Z,2009-10-01T00:00:00.000Z,
2009-10-01T00:00:00.000Z,148700317,2009-10-01T00:00:00.000Z,2009-11-01T00:00:00.000Z,
2009-11-01T00:00:00.000Z,146679835,2009-11-01T00:00:00.000Z,2009-12-01T00:00:00.000Z,
2009-12-01T00:00:00.000Z,131690177,2009-12-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,
2010-01-01T00:00:00.000Z,143406304,2010-01-01T00:00:00.000Z,2010-02-01T00:00:00.000Z,
2010-02-01T00:00:00.000Z,133852410,2010-02-01T00:00:00.000Z,2010-03-01T00:00:00.000Z,
2010-03-01T00:00:00.000Z,138887309,2010-03-01T00:00:00.000Z,2010-04-01T00:00:00.000Z,
2010-04-01T00:00:00.000Z,120861798,2010-04-01T00:00:00.000Z,2010-05-01T00:00:00.000Z,
2010-05-01T00:00:00.000Z,127531889,2010-05-01T00:00:00.000Z,2010-06-01T00:00:00.000Z,
2010-06-01T00:00:00.000Z,100777283,2010-06-01T00:00:00.000Z,2010-07-01T00:00:00.000Z,
2010-07-01T00:00:00.000Z,92224514,2010-07-01T00:00:00.000Z,2010-08-01T00:00:00.000Z,
2010-08-01T00:00:00.000Z,140380466,2010-08-01T00:00:00.000Z,2010-09-01T00:00:00.000Z,
2010-09-01T00:00:00.000Z,161066514,2010-09-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,
2010-10-01T00:00:00.000Z,289442188,2010-10-01T00:00:00.000Z,2010-11-01T00:00:00.000Z,
2010-11-01T00:00:00.000Z,153368131,2010-11-01T00:00:00.000Z,2010-12-01T00:00:00.000Z,
2010-12-01T00:00:00.000Z,155213975,2010-12-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,
2011-01-01T00:00:00.000Z,181336760,2011-01-01T00:00:00.000Z,2011-02-01T00:00:00.000Z,
2011-02-01T00:00:00.000Z,156012528,2011-02-01T00:00:00.000Z,2011-03-01T00:00:00.000Z,
2011-03-01T00:00:00.000Z,170029033,2011-03-01T00:00:00.000Z,2011-04-01T00:00:00.000Z,
2011-04-01T00:00:00.000Z,153550168,2011-04-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,
2011-05-01T00:00:00.000Z,176793461,2011-05-01T00:00:00.000Z,2011-06-01T00:00:00.000Z,
2011-06-01T00:00:00.000Z,164754110,2011-06-01T00:00:00.000Z,2011-07-01T00:00:00.000Z,
2011-07-01T00:00:00.000Z,151767156,2011-07-01T00:00:00.000Z,2011-08-01T00:00:00.000Z,
2011-08-01T00:00:00.000Z,153051355,2011-08-01T00:00:00.000Z,2011-09-01T00:00:00.000Z,
2011-09-01T00:00:00.000Z,138208855,2011-09-01T00:00:00.000Z,2011-10-01T00:00:00.000Z,
2011-10-01T00:00:00.000Z,177963881,2011-10-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,
2011-11-01T00:00:00.000Z,182062883,2011-11-01T00:00:00.000Z,2011-12-01T00:00:00.000Z,
2011-12-01T00:00:00.000Z,155266871,2011-12-01T00:00:00.000Z,2012-01-01T00:00:00.000Z,
2012-01-01T00:00:00.000Z,196681376,2012-01-01T00:00:00.000Z,2012-02-01T00:00:00.000Z,
2012-02-01T00:00:00.000Z,180479462,2012-02-01T00:00:00.000Z,2012-03-01T00:00:00.000Z,
2012-03-01T00:00:00.000Z,184180475,2012-03-01T00:00:00.000Z,2012-04-01T00:00:00.000Z,
2012-04-01T00:00:00.000Z,169405289,2012-04-01T00:00:00.000Z,2012-05-01T00:00:00.000Z,
2012-05-01T00:00:00.000Z,179131317,2012-05-01T00:00:00.000Z,2012-06-01T00:00:00.000Z,
2012-06-01T00:00:00.000Z,182972601,2012-06-01T00:00:00.000Z,2012-07-01T00:00:00.000Z,
2012-07-01T00:00:00.000Z,173648472,2012-07-01T00:00:00.000Z,2012-08-01T00:00:00.000Z,
2012-08-01T00:00:00.000Z,178148297,2012-08-01T00:00:00.000Z,2012-09-01T00:00:00.000Z,
2012-09-01T00:00:00.000Z,179536226,2012-09-01T00:00:00.000Z,2012-10-01T00:00:00.000Z,
2012-10-01T00:00:00.000Z,197196651,2012-10-01T00:00:00.000Z,2012-11-01T00:00:00.000Z,
2012-11-01T00:00:00.000Z,196426333,2012-11-01T00:00:00.000Z,2012-12-01T00:00:00.000Z,
2012-12-01T00:00:00.000Z,194918473,2012-12-01T00:00:00.000Z,2013-01-01T00:00:00.000Z,
2013-01-01T00:00:00.000Z,224127033,2013-01-01T00:00:00.000Z,2013-02-01T00:00:00.000Z,
2013-02-01T00:00:00.000Z,191770477,2013-02-01T00:00:00.000Z,2013-03-01T00:00:00.000Z,
2013-03-01T00:00:00.000Z,213828287,2013-03-01T00:00:00.000Z,2013-04-01T00:00:00.000Z,
2013-04-01T00:00:00.000Z,179173509,2013-04-01T00:00:00.000Z,2013-05-01T00:00:00.000Z,
2013-05-01T00:00:00.000Z,188886601,2013-05-01T00:00:00.000Z,2013-06-01T00:00:00.000Z,
2013-06-01T00:00:00.000Z,191954062,2013-06-01T00:00:00.000Z,2013-07-01T00:00:00.000Z,
2013-07-01T00:00:00.000Z,173788676,2013-07-01T00:00:00.000Z,2013-08-01T00:00:00.000Z,
2013-08-01T00:00:00.000Z,220651296,2013-08-01T00:00:00.000Z,2013-09-01T00:00:00.000Z,
2013-09-01T00:00:00.000Z,240540792,2013-09-01T00:00:00.000Z,2013-10-01T00:00:00.000Z,
2013-10-01T00:00:00.000Z,252194629,2013-10-01T00:00:00.000Z,2013-11-01T00:00:00.000Z,
2013-11-01T00:00:00.000Z,240788535,2013-11-01T00:00:00.000Z,2013-12-01T00:00:00.000Z,
2013-12-01T00:00:00.000Z,170901618,2013-12-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,
2014-01-01T00:00:00.000Z,185039765,2014-01-01T00:00:00.000Z,2014-02-01T00:00:00.000Z,
2014-02-01T00:00:00.000Z,170812235,2014-02-01T00:00:00.000Z,2014-03-01T00:00:00.000Z,
2014-03-01T00:00:00.000Z,191669066,2014-03-01T00:00:00.000Z,2014-04-01T00:00:00.000Z,
2014-04-01T00:00:00.000Z,176242609,2014-04-01T00:00:00.000Z,2014-05-01T00:00:00.000Z,
2014-05-01T00:00:00.000Z,173281423,2014-05-01T00:00:00.000Z,2014-06-01T00:00:00.000Z,
2014-06-01T00:00:00.000Z,177092249,2014-06-01T00:00:00.000Z,2014-07-01T00:00:00.000Z,
2014-07-01T00:00:00.000Z,164662360,2014-07-01T00:00:00.000Z,2014-08-01T00:00:00.000Z,
2014-08-01T00:00:00.000Z,176607916,2014-08-01T00:00:00.000Z,2014-09-01T00:00:00.000Z,
2014-09-01T00:00:00.000Z,186386207,2014-09-01T00:00:00.000Z,2014-10-01T00:00:00.000Z,
2014-10-01T00:00:00.000Z,161877078,2014-10-01T00:00:00.000Z,2014-11-01T00:00:00.000Z,59945421
2014-11-01T00:00:00.000Z,145888947,2014-11-01T00:00:00.000Z,2014-12-01T00:00:00.000Z,62180577
2014-12-01T00:00:00.000Z,140473285,2014-12-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,67621133
2015-01-01T00:00:00.000Z,152005119,2015-01-01T00:00:00.000Z,2015-02-01T00:00:00.000Z,71163786
2015-02-01T00:00:00.000Z,124108446,2015-02-01T00:00:00.000Z,2015-03-01T00:00:00.000Z,59283160
2015-03-01T00:00:00.000Z,150688776,2015-03-01T00:00:00.000Z,2015-04-01T00:00:00.000Z,67273564
2015-04-01T00:00:00.000Z,143879182,2015-04-01T00:00:00.000Z,2015-05-01T00:00:00.000Z,65460592
2015-05-01T00:00:00.000Z,152478968,2015-05-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,72235566
2015-06-01T00:00:00.000Z,126059751,2015-06-01T00:00:00.000Z,2015-07-01T00:00:00.000Z,63355244
2015-07-01T00:00:00.000Z,110656890,2015-07-01T00:00:00.000Z,2015-08-01T00:00:00.000Z,65280922
2015-08-01T00:00:00.000Z,103195258,2015-08-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,67766275
2015-09-01T00:00:00.000Z,114097839,2015-09-01T00:00:00.000Z,2015-10-01T00:00:00.000Z,64122490
2015-10-01T00:00:00.000Z,121202193,2015-10-01T00:00:00.000Z,2015-11-01T00:00:00.000Z,67650267
2015-11-01T00:00:00.000Z,127253103,2015-11-01T00:00:00.000Z,2015-12-01T00:00:00.000Z,70453104
2015-12-01T00:00:00.000Z,122123465,2015-12-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,75604603
2016-01-01T00:00:00.000Z,141517504,2016-01-01T00:00:00.000Z,2016-02-01T00:00:00.000Z,83798490
2016-02-01T00:00:00.000Z,125782455,2016-02-01T00:00:00.000Z,2016-03-01T00:00:00.000Z,72438301
2016-03-01T00:00:00.000Z,127528080,2016-03-01T00:00:00.000Z,2016-04-01T00:00:00.000Z,71600607
2016-04-01T00:00:00.000Z,135804412,2016-04-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,67320063
2016-05-01T00:00:00.000Z,153905793,2016-05-01T00:00:00.000Z,2016-06-01T00:00:00.000Z,71247307
2016-06-01T00:00:00.000Z,134471129,2016-06-01T00:00:00.000Z,2016-07-01T00:00:00.000Z,70632793
2016-07-01T00:00:00.000Z,115716226,2016-07-01T00:00:00.000Z,2016-08-01T00:00:00.000Z,71132847
2016-08-01T00:00:00.000Z,17285788,2016-08-01T00:00:00.000Z,2016-09-01T00:00:00.000Z,10319035
